DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1079;P9010;P9025;P9025S1;P9025S2;P5230;P9090;P784;P784S1;P784S1A1;P784S1A2;P784S2;P784S2A1;P784S2A2;P784S5;P784S5A1;P784S5A2;P784S4;P784S4A1;P1072;P1072S1;P1072S2;P1077;P1077S1;P1077S2;P1077S3;P1077S4;P1077S5;P1077S6;P1077S27;P1077S7;P1077S8;P1077S9;P1077S10;P1077S11;P1077S12;P1077S13;P1077S14;P1077S15;P1077S15A1;P1077S16;P1077S16A1;P1077S17;P1077S18;P1077S19;P1077S20;P1077S21;P1077S21A1;P1077S22;P1077S22A1;P1077S23;P1077S23A1;P1076;P1075;P1075S1;P1075S2;P3199;P1074;P795;P795S1;P795S1A1;P795S1A2;P795S2;P795S3;P795S4;P3201;P1913;P1913S1;P1913S2;P1913S3;P1913S10;P1913S9;P1913S5;P1913S6;P1913S7;P1913S11;P1913S12;P1913S8;P1913S13;P3202;P3202S1;P3202S2;P3202S3;P3202S4;P3202S5;P3202S6;P3202S7;P3202S8;P3202S9;P3202S10;P3202S11;P3202S12;P3203;P3203S1;P3203S2;P3203S3;P3203S4;P3203S5;P3203S6;P3203S7;P3203S8;P3203S9;P3203S10;P3203S11;P3203S12;P3203S13;P3203S14;P3353;P3354;P3355;P3356;P3357;P3358
7751765;1;1;1;14.278.809.159;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;2;;1;2;;1;1;2;1;;;;;;1;;;1;;5;10;20;5;999;10;5;15;999;999;999;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;4;4;4;4;3;3
7751766;1;1;1;16.339.046.393;1;1;;1;2;1;1;;2;;;2;;;2;;;2;;;4;434;;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;;2;;1;2;1;2;2;;2;;2;;3;1;1;1;1;;;;;;1;;;1;;1;5;10;5;10;30;10;5;60;25;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;3;3;3
7751767;1;1;1;10.359.817.915;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;5;0;;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;1;2;1;;;1;2;1;;;;;;15;20;50;5;25;20;5;5;20;5;20;;;1;;;;;;;1;;1;;;;1;;;;1;;;;;1;;;;;4;4;4;4;3;3
7751768;1;1;1;15.567.046.762;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;5;0;;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;3;1;2;1;;;;;;;1;;;1;;8;5;999;3;10;7;3;4;999;999;10;;;1;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;3;2;3;4;3;2
7751769;1;1;1;1.738.551.197;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;2;2;;;;6;;1;2;1;;;;;;10;10;30;5;10;15;10;10;999;15;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;2;2
7751771;1;1;1;19.117.475.426;1;1;;1;2;1;1;;2;;;2;;;2;;;2;;;7;0;;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;;2;;1;2;1;2;1;1;2;;2;;;2;;;;1;;;;;1;;;1;;5;5;5;2;10;15;10;10;999;20;30;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;3;2;4;3;3;3
7751772;1;1;1;16.216.630.581;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;2;0;;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;1;2;;;;2;;;;;1;;;1;;5;0;60;5;15;15;5;0;10;0;10;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;4;2;1;5;3;3
7751773;1;1;1;15.443.707.403;2;2;;1;2;2;2;;2;;;2;;;1;1;1920000;2;;;6;0;;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;3;2;;;;1;;;;;1;;;1;;10;15;30;15;30;30;20;20;30;20;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;2;4;2;3;3
7751774;1;1;1;15.567.046.762;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;2;1;;;;;;15;15;30;5;30;25;5;10;30;5;20;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;3;3;3;3;2;2
7751775;1;1;1;15.658.028.808;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;2;2;1;2;2;2;1;2;1;2;1;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;15;20;30;5;30;15;5;15;20;15;30;;;1;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;2;2;4;4;1;1
