DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3205;P3211;P3216;P3222;P3227;P8752;P3209;P3209S1;P3209S2;P3209S3;P3209S4;P3209S5;P3209S6;P3209S7;P3209S8;P3359;P3359S1;P3359S2;P3359S3;P3359S4;P3359S5;P3359S6;P3359S7;P3359S8;P3359S1A;P3359S2A;P3359S3A;P3359S4A;P3359S5A;P3359S6A;P3359S7A;P3359S8A;P3360;P3360S1;P3360S2;P3360S3;P3360S4;P3360S5;P3360S6;P3360S7;P3360S8;P3361;P3361S1;P3361S2;P3361S3;P3361S4;P3361S5;P3361S6;P3361S7
7574887;1;1;1;17.853.101.367;1;1;1;1;1;;;8;2;2;8;2;2;2;2;;;2;2;;2;3;3;3;;;;;;;;;;;1;2;;1;1;1;1;;;;;1;;;
7574888;1;1;1;11.174.192.489;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;4;1;4;1;4;4;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7574889;1;1;1;13.322.109.214;1;1;1;2;1;;;2;6;2;2;2;2;2;2;;4;2;2;3;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7574890;1;1;1;15.015.398.686;1;1;1;1;1;;;8;1;4;4;4;1;1;4;;;4;3;4;3;4;4;3;;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;
7574891;1;1;1;15.046.276.682;1;2;1;2;1;;;3;3;3;3;3;3;3;3;;2;3;3;4;3;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7574892;1;1;1;14.595.126.339;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;3;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;
7576531;1;1;1;18.463.054.912;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576532;1;1;1;22.633.307.205;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576533;1;1;1;14.387.877.951;1;1;1;1;1;;;1;3;3;3;3;2;3;3;;3;2;2;3;3;3;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576534;1;1;1;21.965.380.198;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576535;1;1;1;13.986.739.576;1;2;1;1;1;;;2;2;1;2;1;1;1;1;;2;3;2;2;3;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576536;1;1;1;12.436.321.887;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;2;2;2;3;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576537;1;1;1;12.591.284.827;1;2;1;1;1;;;1;2;3;3;3;1;1;1;;3;2;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576538;1;1;1;14.610.203.784;1;2;1;2;1;;;2;2;4;3;4;2;2;3;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576539;1;1;1;14.947.681.874;1;1;1;1;1;;;2;1;2;2;2;1;1;3;;2;2;4;2;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576540;1;1;1;26.343.437.949;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;2;2;2;1;1;2;4;1;;;;;;;;;;3;1;3;1;3;1;1;3;;;;1;;;;
7576541;1;1;1;20.626.671.012;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576542;1;1;1;14.164.136.562;1;1;1;1;1;;;2;2;3;2;2;1;1;2;;3;4;2;3;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576543;1;1;1;22.364.613.574;1;2;1;1;2;;;2;3;3;2;2;3;2;2;;3;3;3;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576544;1;1;1;10.794.691.702;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576545;1;1;1;19.983.163.821;1;1;1;1;1;;;6;2;2;2;2;2;2;2;;2;2;2;2;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576546;1;1;1;18.932.946.165;1;1;1;1;1;;;3;3;4;2;4;2;2;3;;2;1;2;2;3;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576547;1;1;1;1.421.496.947;1;1;1;2;1;;;1;1;3;1;3;1;1;3;;2;2;1;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576548;1;1;1;14.205.490.342;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;4;2;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576549;1;1;1;15.831.063.002;1;1;1;2;1;;;6;3;3;3;3;1;1;3;;1;3;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576550;1;1;1;19.983.163.821;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576551;1;1;1;13.103.393.225;1;2;1;2;2;;;8;8;8;3;8;3;8;8;;;;;2;;4;;;;;;;;;;;;;;;1;;1;;;;;;;;;;
7576552;1;1;1;21.965.380.198;1;1;1;1;1;;;2;1;2;1;2;1;1;2;;1;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576553;1;1;1;15.341.929.569;1;2;1;2;2;;;3;2;4;3;3;3;3;3;;4;3;3;2;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576554;1;1;1;14.620.534.838;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;1;2;4;1;3;2;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576555;1;1;1;16.143.496.424;1;2;1;1;2;;;4;3;2;2;4;2;4;4;;4;2;2;3;2;2;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576556;1;1;1;14.049.636.274;2;1;1;2;2;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576557;1;1;1;1.820.743.118;2;1;2;2;2;;;1;1;2;2;2;1;1;2;;4;3;3;3;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576558;1;1;1;1.638.043.493;1;1;1;1;1;;;4;2;4;3;4;2;3;4;;1;1;1;3;1;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7576559;1;1;1;21.262.451.132;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;2;3;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7576564;1;1;1;10.707.976.848;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;1;2;2;2;3;2;2;;;;;;;;;;;;;;;;;
7576567;1;1;1;56.824.979.272;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;3;2;3;2;2;4;4;4;;;;;;;;;;;;;;;;;
7576568;1;1;1;64.366.003.713;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;2;3;2;3;2;3;3;;;;;;;;;;;;;;;;;
7576569;1;1;1;61.763.952.473;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7576570;1;1;1;10.136.759.592;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;3;;;;;;;;;;;;;;;;;
7576571;1;1;1;90.112.195.737;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;5;4;4;4;4;4;;;;;;;;;;;;;;;;;
7576572;1;1;1;17.829.231.643;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7576574;1;1;1;10.623.644.173;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;2;1;3;2;3;2;2;3;;;;;;;;;;;;;;;;;
7576575;1;1;1;72.350.667.671;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;3;1;5;2;3;2;4;3;;;;;;;;;;;;;;;;;
7576576;1;1;1;16.884.978.133;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;4;1;4;2;3;2;3;2;;;;;;;;;;;;;;;;;
7576579;1;1;1;14.595.126.339;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;5;3;2;3;4;4;4;;;;;;;;;;;;;;;;;
7576580;1;1;1;10.656.782.777;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;3;3;3;2;3;1;2;3;;;;;;;;;;;;;;;;;
7576582;1;1;1;10.450.523.568;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;3;5;5;2;5;2;5;3;;;;;;;;;;;;;;;;;
7576583;1;1;1;11.637.512.547;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7576584;1;1;1;11.095.912.213;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;1;3;1;3;1;4;4;;;;;;;;;;;;;;;;;
7576585;1;1;1;16.437.794.433;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;1;2;4;1;3;1;3;3;;;;;;;;;;;;;;;;;
7576586;1;1;1;95.845.484.247;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;3;3;4;4;4;3;;;;;;;;;;;;;;;;;
7576587;1;1;1;55.019.616.344;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;2;4;4;4;4;5;4;;;;;;;;;;;;;;;;;
7584898;1;1;1;1.493.686.281;1;1;1;1;1;;;1;1;8;8;8;1;1;8;;4;4;;;;3;3;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;
7584899;1;1;1;13.545.336.445;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;3;3;2;3;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584901;1;1;1;15.411.376.294;1;1;1;1;1;;;6;1;6;2;6;1;1;6;;2;2;2;4;2;4;4;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584902;1;1;1;14.387.877.951;1;1;1;1;2;;;1;1;2;1;2;1;1;2;;2;1;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584904;1;1;1;20.714.027.538;2;1;1;2;2;;;2;2;2;2;2;2;2;2;;4;3;3;2;2;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584905;1;1;1;16.143.496.424;1;1;1;1;1;;;1;1;1;1;2;1;1;2;;3;3;2;3;2;3;3;2;;;;;;;;;;2;2;2;1;2;1;1;2;;;;1;;;;
7584906;1;1;1;17.487.895.593;1;1;1;1;2;;;1;1;1;1;1;1;1;1;;3;2;2;3;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584908;1;1;1;13.044.372.547;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584910;1;1;1;15.928.020.789;1;1;1;2;2;;;2;2;3;2;3;2;2;3;;3;3;3;2;2;3;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584911;1;1;1;1.907.443.863;1;2;1;2;2;;;2;2;2;2;2;2;2;2;;4;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584912;1;1;1;15.986.531.057;2;2;1;2;2;;;2;2;3;2;2;2;2;2;;2;1;1;2;1;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584913;1;1;1;1.650.133.681;1;1;1;2;2;;;8;3;3;7;3;3;3;3;;;2;2;2;1;2;2;2;;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;
7584914;1;1;1;18.567.436.613;1;1;1;1;1;;;4;2;4;4;4;3;2;4;;3;2;2;3;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584915;1;1;1;18.068.396.181;1;2;1;2;2;;;1;1;3;3;3;4;3;3;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584916;1;1;1;18.276.220.678;1;1;1;1;1;;;2;2;4;3;4;2;2;4;;4;4;3;3;3;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584917;1;1;1;1.566.048.516;1;2;1;2;2;;;1;1;1;1;1;1;1;1;;2;2;4;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584918;1;1;1;18.564.003.911;1;1;1;2;2;;;4;4;4;4;4;1;1;4;;1;2;2;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7584919;1;1;1;18.917.368.447;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;1;1;4;1;4;1;3;2;;;;;;;;;;;;;;;;;
7584925;1;1;1;96.879.526.363;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;4;4;3;3;3;4;4;4;;;;;;;;;;;;;;;;;
7584926;1;1;1;96.447.300.733;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;5;3;2;2;2;2;3;;;;;;;;;;;;;;;;;
7584928;1;1;1;10.473.792.237;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;4;2;2;2;2;2;3;;;;;;;;;;;;;;;;;
7593004;1;1;1;14.071.576.648;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;3;2;3;3;3;2;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593005;1;1;1;16.106.334.035;1;1;1;1;1;;;2;2;2;2;2;2;2;4;;2;2;2;4;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593008;1;1;1;17.867.333.028;2;1;1;1;1;;;6;2;6;6;6;2;2;6;;4;3;2;3;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593010;1;1;1;20.014.693.005;1;1;1;2;1;;;6;1;6;1;6;1;1;6;;3;3;3;3;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593013;1;1;1;1.661.674.942;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593015;1;1;1;24.772.525.276;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;3;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593020;1;1;1;15.649.787.732;2;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;3;3;3;3;3;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593022;1;1;1;20.330.559.339;1;1;1;2;2;;;6;3;3;3;3;3;3;3;;2;2;1;2;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593027;1;1;1;20.153.316.061;1;2;1;2;2;;;3;3;3;3;3;3;3;3;;4;2;1;2;1;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593032;1;1;1;18.018.478.423;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;2;2;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593035;1;1;1;20.495.889.708;1;2;2;2;2;;;3;3;3;3;3;3;3;3;;4;4;3;2;1;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593040;1;1;1;16.644.987.342;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;2;3;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593043;1;1;1;17.937.218.249;1;1;1;1;2;;;1;3;3;3;3;3;3;3;;2;2;2;2;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593045;1;1;1;15.846.760.616;1;1;1;2;2;;;3;3;2;2;2;2;2;2;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593047;1;1;1;1.962.339.682;1;2;1;2;2;;;3;3;3;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593048;1;1;1;18.567.436.613;2;1;1;2;2;;;6;2;2;2;2;2;2;2;;4;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7593051;1;1;1;12.812.298.749;1;1;1;1;1;;;1;1;2;1;2;3;2;2;;2;2;2;2;2;3;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7594514;1;1;1;17.948.593.202;1;1;1;2;2;;;2;2;3;3;3;2;2;3;;1;2;2;2;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7594515;1;1;1;20.014.693.005;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7594516;1;1;1;15.542.767.386;1;2;1;1;2;;;2;2;2;2;2;2;2;2;;4;4;2;2;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7594517;1;1;1;1.638.043.493;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7594551;1;1;1;12.605.722.773;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;1;3;2;1;4;4;4;;;;;;;;;;;;;;;;;
7594593;1;1;1;57.929.403.342;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;2;3;2;3;3;;;;;;;;;;;;;;;;;
7594614;1;1;1;15.066.198.622;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;2;3;3;3;;;;;;;;;;;;;;;;;
7594618;1;1;1;70.701.195.105;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;2;2;2;2;2;;;;;;;;;;;;;;;;;
7594620;1;1;1;55.019.616.344;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;3;4;3;4;4;4;4;;;;;;;;;;;;;;;;;
7594623;1;1;1;12.605.722.773;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;2;2;2;2;3;3;2;3;;;;;;;;;;;;;;;;;
7594627;1;1;1;81.969.268.414;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;3;4;3;3;3;3;3;;;;;;;;;;;;;;;;;
7594630;1;1;1;78.991.816.737;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;2;2;2;2;2;2;3;;;;;;;;;;;;;;;;;
7594636;1;1;1;70.701.195.105;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;5;3;2;2;2;2;3;2;;;;;;;;;;;;;;;;;
7594640;1;1;1;10.473.792.237;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7594647;1;1;1;11.637.512.547;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;2;2;1;1;1;1;2;;;;;;;;;;;;;;;;;
7594651;1;1;1;90.894.475.181;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;3;2;2;2;2;3;3;2;;;;;;;;;;;;;;;;;
7594667;1;1;1;8.195.603.298;1;1;1;2;2;3;;;;;;;;;;;;;;;;;;;4;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7594670;1;1;1;13.856.348.768;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;1;4;3;;;;;;;;;;;;;;;;;
7594673;1;1;1;10.374.412.303;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;3;4;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7594687;1;1;1;11.120.514.973;1;1;1;2;2;4;;;;;;;;;;;;;;;;;;;4;3;3;4;3;3;3;3;;;;;;;;;;;;;;;;;
7594700;1;1;1;72.975.966.808;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;2;4;3;4;4;3;;;;;;;;;;;;;;;;;
7594701;1;1;1;51.573.648.237;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;4;4;4;3;4;5;;;;;;;;;;;;;;;;;
7594702;1;1;1;48.983.110.058;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;3;2;2;3;3;2;3;3;;;;;;;;;;;;;;;;;
7606490;1;1;1;19.078.535.777;1;1;1;2;1;;;2;1;2;2;2;1;2;2;;3;3;2;2;2;3;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606491;1;1;1;19.669.894.064;1;2;1;2;1;;;8;2;2;2;2;2;2;2;;;2;2;2;2;2;2;2;;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;
7606492;1;1;1;17.529.528.107;1;1;1;1;1;;;6;2;2;2;2;2;2;2;;3;3;3;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606493;1;1;1;19.174.518.881;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;3;2;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606494;1;1;1;18.018.478.423;2;1;1;1;1;;;6;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606495;1;1;1;21.108.084.003;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;3;2;2;2;2;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606496;1;1;1;23.416.389.288;2;1;1;1;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606498;1;1;1;16.179.925.845;1;1;1;2;2;;;1;8;1;1;3;3;3;3;;1;;1;1;1;1;1;1;;;;;;;;;;1;;1;1;1;1;1;1;;;;;;;;
7606499;1;1;1;15.050.373.828;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606502;1;1;1;19.124.063.167;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;2;3;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606503;1;1;1;17.948.593.202;2;1;1;2;2;;;6;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606504;1;1;1;15.676.495.046;2;2;1;2;2;;;6;2;2;2;2;2;2;2;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606506;1;1;1;1.119.057.174;1;2;1;2;1;;;1;1;2;2;2;1;1;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606507;1;1;1;1.119.057.174;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;2;1;1;1;;;;;1;;;
7606508;1;1;1;15.224.754.297;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;2;2;2;3;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606510;1;1;1;18.497.551.392;1;1;1;2;2;;;3;2;4;2;4;2;2;4;;2;2;2;2;2;3;3;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606511;1;1;1;16.245.038.709;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;2;2;3;2;4;4;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606512;1;1;1;1.119.057.174;1;1;1;1;2;;;6;1;3;1;3;1;1;3;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606514;1;1;1;16.958.698.468;1;1;1;2;2;;;3;3;3;3;3;3;3;3;;2;1;3;1;2;1;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606516;1;1;1;14.387.877.951;1;1;1;2;2;;;2;2;2;2;2;2;2;2;;3;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7606517;1;1;1;19.177.411.962;2;2;2;2;2;;;3;3;3;3;3;3;3;2;;4;3;3;3;3;3;3;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
